"strain"	"isolate"	"genbank_title"	"length"	"country"	"host"	"date"
"PV685629.1"		"Chikungunya virus strain S17b13, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-31
"PV685630.1"		"Chikungunya virus strain S17b18, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-02
"PV685631.1"		"Chikungunya virus strain S17b75, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-15
"PV685632.1"		"Chikungunya virus strain S18b11, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-12-02
"PV685633.1"		"Chikungunya virus strain S18b33, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-19
"PV685634.1"		"Chikungunya virus strain S22b46, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-19
"PV685635.1"		"Chikungunya virus strain S8b07, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-30
"PV685636.1"		"Chikungunya virus strain S8b22, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-12
"PV685637.1"		"Chikungunya virus strain S9b50, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-18
"PV685638.1"		"Chikungunya virus strain S8b93, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-01
"PV685639.1"		"Chikungunya virus strain S13b54, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-24
"PV685640.1"		"Chikungunya virus strain S15b64, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-10-01
"PV685641.1"		"Chikungunya virus strain S9b49, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-18
"PV685642.1"		"Chikungunya virus strain S9b13, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-08-01
"PV685643.1"		"Chikungunya virus strain S9b19, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-13
"PV685644.1"		"Chikungunya virus strain S9b81, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-15
"PV685645.1"		"Chikungunya virus strain S17b30, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-08-03
"PV685646.1"		"Chikungunya virus strain S22b42, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-18
"PV685647.1"		"Chikungunya virus strain S10b17, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-04-02
"PV685648.1"		"Chikungunya virus strain S17b74, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-13
"PV685649.1"		"Chikungunya virus strain S8b89, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-28
"PV685650.1"		"Chikungunya virus strain S9b07, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-08-01
"PV685651.1"		"Chikungunya virus strain S12b81, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-07-12
"PV685652.1"		"Chikungunya virus strain S9b79, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-21
"PV685653.1"		"Chikungunya virus strain S19b10, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-18
"PV685654.1"		"Chikungunya virus strain S10b29, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-08-02
"PV685655.1"		"Chikungunya virus strain S10b74, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-20
"PV685656.1"		"Chikungunya virus strain S21b42, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-25
"PV685657.1"		"Chikungunya virus strain S10b02, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-30
"PV685658.1"		"Chikungunya virus strain S19b50, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-13
"PV685659.1"		"Chikungunya virus strain S8b51, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-06-01
"PV685660.1"		"Chikungunya virus strain S8b82, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-27
"PV685661.1"		"Chikungunya virus strain S10b30, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-08-02
"PV685662.1"		"Chikungunya virus strain S23b83, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-20
"PV685663.1"		"Chikungunya virus strain S20b13, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-15
"PV685664.1"		"Chikungunya virus strain S15b86, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-05-03
"PV685665.1"		"Chikungunya virus strain S20b30, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-15
"PV685666.1"		"Chikungunya virus strain S19b42, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-13
"PV685667.1"		"Chikungunya virus strain S17b24, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-10-02
"PV685668.1"		"Chikungunya virus strain S8b64, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-13
"PV685669.1"		"Chikungunya virus strain S19b17, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-19
"PV685670.1"		"Chikungunya virus strain S16b60, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-07-03
"PV685671.1"		"Chikungunya virus strain S27b31, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-17
"PV685672.1"		"Chikungunya virus strain S26b04, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-12-04
"PV685673.1"		"Chikungunya virus strain S26b44, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-04-04
"PV685674.1"		"Chikungunya virus strain S27b91, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-13
"PV685675.1"		"Chikungunya virus strain S28b13, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-13
"PV685676.1"		"Chikungunya virus strain S30b73, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-30
"PV685677.1"		"Chikungunya virus strain S28b69, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-24
"PV685678.1"		"Chikungunya virus strain S26b05, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-12-04
"PV685679.1"		"Chikungunya virus strain S26b07, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-04-13
"PV685680.1"		"Chikungunya virus strain S26b08, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-04-13
"PV685681.1"		"Chikungunya virus strain S26b12, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-06-04
"PV685682.1"		"Chikungunya virus strain S2b92, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-08-27
"PV685684.1"		"Chikungunya virus strain S3b82, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-09-16
"PV685685.1"		"Chikungunya virus strain S3b83, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-09
"PV685686.1"		"Chikungunya virus strain S4b3, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-10-25
"PV685687.1"		"Chikungunya virus strain S06b01, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-08-14
"PV685688.1"		"Chikungunya virus strain S5b07, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-18
"PV685689.1"		"Chikungunya virus strain S5b08, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-16
"PV685690.1"		"Chikungunya virus strain S29b77, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-27
"PV685691.1"		"Chikungunya virus strain S30b86, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-31
"PV685692.1"		"Chikungunya virus strain S30b84, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-30
"PV685693.1"		"Chikungunya virus strain S27b25, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-24
"PV685694.1"		"Chikungunya virus strain S28b63, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-26
"PV685695.1"		"Chikungunya virus strain S26b16, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-04
"PV685696.1"		"Chikungunya virus strain S28b85, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-26
"PV685697.1"		"Chikungunya virus strain S30b93, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-31
"PV685698.1"		"Chikungunya virus strain S26b09, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-06-04
"PV685699.1"		"Chikungunya virus strain S26b70, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-21
"PV685700.1"		"Chikungunya virus strain S26b18, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-31
"PV685701.1"		"Chikungunya virus strain S28b03, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-09-04
"PV685702.1"		"Chikungunya virus strain S30b03, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-04-14
"PV685703.1"		"Chikungunya virus strain S28b02, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-07-04
"PV685704.1"		"Chikungunya virus strain S28b86, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-25
"PV685705.1"		"Chikungunya virus strain S26b01, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-04-14
"PV685706.1"		"Chikungunya virus strain S26b15, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-06-04
"PV089294.1"	"MCZ-630H"	"Chikungunya virus isolate MCZ-630H, complete genome"	11802	"Brazil"	"Homo sapiens"	2014-07-08
"PP681186.1"	"CX9MJNS22"	"Chikungunya virus isolate CX9MJNS22, complete genome"	11787	"Brazil"	"Homo sapiens"	2022-04-27
"PV593524.2"		"Chikungunya virus strain UVE/CHIKV/2024/RE/CNR_79903, complete genome"	11713	"France"	"Homo sapiens"	2024-12-23
"PV035814.1"	"CHIKV_RUN_S2b93_2024"	"Chikungunya virus isolate CHIKV_RUN_S2b93_2024, partial genome"	11237	"Reunion"	"Homo sapiens"	2024-09-01
"PV066168.1"	"SIMI 057"	"Chikungunya virus isolate SIMI 057 nonstructural polyprotein (gp1) and structural polyprotein (gp2) genes, complete cds"	11647	"Thailand"	"Homo sapiens"	2019-12-18
"PV066169.1"	"SIMI 058"	"Chikungunya virus isolate SIMI 058 nonstructural polyprotein (gp1) and structural polyprotein (gp2) genes, complete cds"	11647	"Thailand"	"Homo sapiens"	2019-10-12
"PV054360.1"	"CHIKV-NIHPAK-02/2024"	"Chikungunya virus isolate CHIKV-NIHPAK-02/2024, complete genome"	11795	"Pakistan"	"Homo sapiens"	2024-09-06
"PV054361.1"	"CHIKV-NIHPAK-03/2024"	"Chikungunya virus isolate CHIKV-NIHPAK-03/2024, complete genome"	11465	"Pakistan"	"Homo sapiens"	2024-09-08
"PV054362.1"	"CHIKV-NIHPAK-04/2024"	"Chikungunya virus isolate CHIKV-NIHPAK-04/2024, complete genome"	11795	"Pakistan"	"Homo sapiens"	2024-09-06
"PV054363.1"	"CHIKV-NIHPAK-05/2024"	"Chikungunya virus isolate CHIKV-NIHPAK-05/2024, complete genome"	11800	"Pakistan"	"Homo sapiens"	2024-09-08
"PV054364.1"	"CHIKV-NIHPAK-06/2024"	"Chikungunya virus isolate CHIKV-NIHPAK-06/2024, complete genome"	11731	"Pakistan"	"Homo sapiens"	2024-09-05
"PV054365.1"	"CHIKV-NIHPAK-07/2024"	"Chikungunya virus isolate CHIKV-NIHPAK-07/2024, complete genome"	11729	"Pakistan"	"Homo sapiens"	2024-09-05
"PV022110.1"	"11GLH_2019"	"Chikungunya virus isolate 11GLH_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022111.1"	"12LSK_2019"	"Chikungunya virus isolate 12LSK_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022112.1"	"13OY_2019"	"Chikungunya virus isolate 13OY_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022113.1"	"14JXB_2019"	"Chikungunya virus isolate 14JXB_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022114.1"	"15XWH_2019"	"Chikungunya virus isolate 15XWH_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022115.1"	"16WLP_2019"	"Chikungunya virus isolate 16WLP_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022116.1"	"18BAH_2019"	"Chikungunya virus isolate 18BAH_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022117.1"	"19WCJ_2019"	"Chikungunya virus isolate 19WCJ_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022118.1"	"20NXC_2019"	"Chikungunya virus isolate 20NXC_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022119.1"	"21ZJJ_2019"	"Chikungunya virus isolate 21ZJJ_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022120.1"	"22ZH_2019"	"Chikungunya virus isolate 22ZH_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022121.1"	"23TWJ_2020"	"Chikungunya virus isolate 23TWJ_2020, complete genome"	11237	"China"	"Homo sapiens"	2020-01-01
"PV022122.1"	"24ZFS_2020"	"Chikungunya virus isolate 24ZFS_2020, complete genome"	11237	"China"	"Homo sapiens"	2020-01-01
"PV022123.1"	"25WBX_2020"	"Chikungunya virus isolate 25WBX_2020, complete genome"	11237	"China"	"Homo sapiens"	2020-01-01
"PV022124.1"	"B112_2019"	"Chikungunya virus isolate B112_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022125.1"	"B118_2019"	"Chikungunya virus isolate B118_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022126.1"	"B98_2019"	"Chikungunya virus isolate B98_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PV022127.1"	"B99_2019"	"Chikungunya virus isolate B99_2019, complete genome"	11237	"China"	"Homo sapiens"	2019-01-01
"PQ673601.1"	"Nika21"	"Chikungunya virus isolate Nika21, complete genome"	11790	"Nicaragua"	"Aedes aegypti"	2021-01-01
"PP196586.1"	"ONT_417824_400"	"Chikungunya virus isolate ONT_417824_400, partial genome"	10885	"Senegal"	"Homo sapiens"	2023-01-01
"PP196587.1"	"ONT_417854_1200"	"Chikungunya virus isolate ONT_417854_1200, partial genome"	11140	"Senegal"	"Homo sapiens"	2023-01-01
"PP196588.1"	"ONT_417854_400"	"Chikungunya virus isolate ONT_417854_400, partial genome"	11044	"Senegal"	"Homo sapiens"	2023-01-01
"PP196589.1"	"ONT_417861_1200"	"Chikungunya virus isolate ONT_417861_1200, partial genome"	11102	"Senegal"	"Homo sapiens"	2023-01-01
"PP196590.1"	"ONT_417861_400"	"Chikungunya virus isolate ONT_417861_400, partial genome"	11084	"Senegal"	"Homo sapiens"	2023-01-01
"PP196591.1"	"ONT_417864_1200"	"Chikungunya virus isolate ONT_417864_1200, partial genome"	11142	"Senegal"	"Homo sapiens"	2023-01-01
"PP196592.1"	"ONT_417864_400"	"Chikungunya virus isolate ONT_417864_400, partial genome"	10848	"Senegal"	"Homo sapiens"	2023-01-01
"PP196593.1"	"ONT_417878_1200"	"Chikungunya virus isolate ONT_417878_1200, partial genome"	10519	"Senegal"	"Homo sapiens"	2023-01-01
"PP196594.1"	"ONT_417878_400"	"Chikungunya virus isolate ONT_417878_400, partial genome"	10838	"Senegal"	"Homo sapiens"	2023-01-01
"PP196595.1"	"ONT_417905_1200"	"Chikungunya virus isolate ONT_417905_1200, partial genome"	10742	"Senegal"	"Homo sapiens"	2023-01-01
"PP196596.1"	"ONT_417905_400"	"Chikungunya virus isolate ONT_417905_400, partial genome"	11145	"Senegal"	"Homo sapiens"	2023-01-01
"PP196597.1"	"ONT_417986_1200"	"Chikungunya virus isolate ONT_417986_1200, partial genome"	11116	"Senegal"	"Homo sapiens"	2023-01-01
"PP196598.1"	"ONT_417986_400"	"Chikungunya virus isolate ONT_417986_400, partial genome"	10961	"Senegal"	"Homo sapiens"	2023-01-01
"PP196599.1"	"ONT_417995_1200"	"Chikungunya virus isolate ONT_417995_1200, partial genome"	11091	"Senegal"	"Homo sapiens"	2023-01-01
"PP196600.1"	"ONT_417995_400"	"Chikungunya virus isolate ONT_417995_400, partial genome"	10844	"Senegal"	"Homo sapiens"	2023-01-01
"PP196601.1"	"ONT_418013_1200"	"Chikungunya virus isolate ONT_418013_1200, partial genome"	10510	"Senegal"	"Homo sapiens"	2023-01-01
"PP196603.1"	"ONT_418017_1200"	"Chikungunya virus isolate ONT_418017_1200, partial genome"	11093	"Senegal"	"Homo sapiens"	2023-01-01
"PP196604.1"	"ONT_418017_400"	"Chikungunya virus isolate ONT_418017_400, partial genome"	10842	"Senegal"	"Homo sapiens"	2023-01-01
"PP196605.1"	"ONT_418042_1200"	"Chikungunya virus isolate ONT_418042_1200, partial genome"	11153	"Senegal"	"Homo sapiens"	2023-01-01
"PP196606.1"	"ONT_418042_400"	"Chikungunya virus isolate ONT_418042_400, partial genome"	11142	"Senegal"	"Homo sapiens"	2023-01-01
"PP196607.1"	"ONT_418118_1200"	"Chikungunya virus isolate ONT_418118_1200, partial genome"	10957	"Senegal"	"Homo sapiens"	2023-01-01
"PP196608.1"	"ONT_418118_400"	"Chikungunya virus isolate ONT_418118_400, partial genome"	11107	"Senegal"	"Homo sapiens"	2023-01-01
"PP196609.1"	"ONT_418135_1200"	"Chikungunya virus isolate ONT_418135_1200, partial genome"	11107	"Senegal"	"Homo sapiens"	2023-01-01
"PP196610.1"	"ONT_418135_400"	"Chikungunya virus isolate ONT_418135_400, partial genome"	11063	"Senegal"	"Homo sapiens"	2023-01-01
"PP196611.1"	"ONT_427924_1200"	"Chikungunya virus isolate ONT_427924_1200, partial genome"	11161	"Senegal"	"Homo sapiens"	2023-01-01
"PP196612.1"	"ONT_427924_400"	"Chikungunya virus isolate ONT_427924_400, partial genome"	11153	"Senegal"	"Homo sapiens"	2023-01-01
"PP196613.1"	"ONT_427972_1200"	"Chikungunya virus isolate ONT_427972_1200, partial genome"	11108	"Senegal"	"Homo sapiens"	2023-01-01
"PP196614.1"	"ONT_427972_400"	"Chikungunya virus isolate ONT_427972_400, partial genome"	11120	"Senegal"	"Homo sapiens"	2023-01-01
"OQ918703.2"		"Chikungunya virus strain Thail/South Korea/2022, complete genome"	11812	"South Korea"	"Homo sapiens"	2022-12-28
"PP798381.1"		"Chikungunya virus strain Asian, complete genome"	12000	"China"	"Homo sapiens"	2024-01-22
"OR412347.1"	"MY/2021/6988-3216386/Malaysia"	"Chikungunya virus isolate MY/2021/6988-3216386/Malaysia, complete genome"	11172	"Malaysia"	"Homo sapiens"	2021-12-24
"OR412348.1"	"MY/2021/7236-2509922/Malaysia"	"Chikungunya virus isolate MY/2021/7236-2509922/Malaysia, complete genome"	11172	"Malaysia"	"Homo sapiens"	2021-11-17
"OR412349.1"	"MY/2017/M/CHIK/17/07/02/Malaysia"	"Chikungunya virus isolate MY/2017/M/CHIK/17/07/02/Malaysia, complete genome"	11649	"Malaysia"	"Homo sapiens"	2017-07-21
"OR412350.1"	"MY/2017/M/CHIK/17/08/07/Malaysia"	"Chikungunya virus isolate MY/2017/M/CHIK/17/08/07/Malaysia, complete genome"	11644	"Malaysia"	"Homo sapiens"	2017-06-09
"PQ483512.1"	"CHIKV-68001"	"Chikungunya virus isolate CHIKV-68001 non-structural protein and structural protein genes, complete cds"	11374	"Cote d'Ivoire"	"Homo sapiens"	2023-10-08
"PQ483513.1"	"CHIKV-66622"	"Chikungunya virus isolate CHIKV-66622 non-structural protein and structural protein genes, complete cds"	11364	"Cote d'Ivoire"	"Homo sapiens"	2023-06-21
"PQ261036.1"	2107	"Chikungunya virus isolate 2107, complete genome"	12074	"Mexico"	"Homo sapiens"	2015-01-01
"PQ261037.1"	2115	"Chikungunya virus isolate 2115, complete genome"	12165	"Mexico"	"Homo sapiens"	2015-01-01
"PQ441909.1"		"UNVERIFIED: Chikungunya virus strain East Central South African genomic sequence"	11778	"Brazil"	"Homo sapiens"	2023-05-08
"OR470610.1"	"NIMH-CHIKV_SJ51_S"	"Chikungunya virus isolate NIMH-CHIKV_SJ51_S nonstructural polyprotein and structural polyprotein genes, complete cds"	11783	"India"	"Homo sapiens"	2021-06-02
"OR470611.1"	"NIMH-CHIKV_SJ51_C"	"Chikungunya virus isolate NIMH-CHIKV_SJ51_C nonstructural polyprotein and structural polyprotein genes, partial cds"	11195	"India"	"Homo sapiens"	2021-06-02
"OR452425.1"		"UNVERIFIED: Chikungunya virus strain 5627/2019/BR/RJ/2019 structural polyprotein gene, partial cds"	11195	"Brazil"	"Homo sapiens"	2019-12-06
"PP862724.1"	"MBC099"	"Chikungunya virus isolate MBC099, partial genome"	11696	"Spain"		2016-03-28
"PP896894.1"	"AFI_282/2024"	"Chikungunya virus isolate AFI_282/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896895.1"	"AFI_1015/2024"	"Chikungunya virus isolate AFI_1015/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896896.1"	"AFI_1029/2024"	"Chikungunya virus isolate AFI_1029/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896897.1"	"AFI_1111/2024"	"Chikungunya virus isolate AFI_1111/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896898.1"	"AFI_1174/2024"	"Chikungunya virus isolate AFI_1174/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896899.1"	"AFI_1233/2024"	"Chikungunya virus isolate AFI_1233/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896900.1"	"AFI_1252/2024"	"Chikungunya virus isolate AFI_1252/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896901.1"	"AFI_1538/2024"	"Chikungunya virus isolate AFI_1538/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896902.1"	"AFI_1562/2024"	"Chikungunya virus isolate AFI_1562/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896903.1"	"AFI_1567/2024"	"Chikungunya virus isolate AFI_1567/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896904.1"	"AFI_1578/2024"	"Chikungunya virus isolate AFI_1578/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896905.1"	"AFI_1579/2024"	"Chikungunya virus isolate AFI_1579/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896906.1"	"AFI_1580/2024"	"Chikungunya virus isolate AFI_1580/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896907.1"	"AFI_1593/2024"	"Chikungunya virus isolate AFI_1593/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896908.1"	"AFI_2560/2024"	"Chikungunya virus isolate AFI_2560/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896909.1"	"AFI_2576/2024"	"Chikungunya virus isolate AFI_2576/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896910.1"	"AFI_297/2024"	"Chikungunya virus isolate AFI_297/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
"PP896911.1"	"AFI_463/2024"	"Chikungunya virus isolate AFI_463/2024, complete genome"	11826	"India"	"Homo sapiens"	2024-01-01
